mix,song1_index,song2_index,song1_title,song2_title,tempo_1,spectral_centroid_1,spectral_bandwidth_1,zero_crossing_rate_1,mfcc_1_1,mfcc_2_1,mfcc_3_1,mfcc_4_1,mfcc_5_1,mfcc_6_1,mfcc_7_1,mfcc_8_1,mfcc_9_1,mfcc_10_1,mfcc_11_1,mfcc_12_1,mfcc_13_1,tempo_2,spectral_centroid_2,spectral_bandwidth_2,zero_crossing_rate_2,mfcc_1_2,mfcc_2_2,mfcc_3_2,mfcc_4_2,mfcc_5_2,mfcc_6_2,mfcc_7_2,mfcc_8_2,mfcc_9_2,mfcc_10_2,mfcc_11_2,mfcc_12_2,mfcc_13_2
50,12,13,id='l5DchUj2K7I' title='J Majik - Nightvision [Infrared]',id='Q6HpTrmwnhQ' title='+ Roni Size - Snapshot [Full Cycle]',86.1328125,3256.885313066123,2839.197063721475,0.1502061032130816,-11.874174,66.102844,13.864594,11.974013,-5.5235257,13.76966,-4.983413,5.458519,-1.3333428,1.01801,-1.9890711,2.0699952,-2.1489084,172.265625,2843.8230770830487,2800.364810723161,0.1241735644442766,-95.99266,71.42547,29.913912,39.414204,9.868639,14.33491,2.178771,2.856438,-5.8016357,5.3111,-11.734165,4.0608435,-8.0115385
50,13,14,id='Q6HpTrmwnhQ' title='+ Roni Size - Snapshot [Full Cycle]',id='vvxCOd4WmeA' title='Absolute Zero & Subphonics - The Code (Future Cut Remix) [Renegade Hardware]',172.265625,2843.8230770830487,2800.364810723161,0.1241735644442766,-95.99266,71.42547,29.913912,39.414204,9.868639,14.33491,2.178771,2.856438,-5.8016357,5.3111,-11.734165,4.0608435,-8.0115385,89.10290948275862,2548.0381303558315,2433.3863602575143,0.1326205665681144,-120.116554,82.91505,-5.0522795,26.11398,9.541413,10.276889,0.4261154,5.290143,-3.0513618,3.9859161,-3.2237668,5.580604,-0.47685835
50,14,15,id='vvxCOd4WmeA' title='Absolute Zero & Subphonics - The Code (Future Cut Remix) [Renegade Hardware]',id='BTZAQlr6ZZc' title='Adam F - Circles [Section 5]',89.10290948275862,2548.0381303558315,2433.3863602575143,0.1326205665681144,-120.116554,82.91505,-5.0522795,26.11398,9.541413,10.276889,0.4261154,5.290143,-3.0513618,3.9859161,-3.2237668,5.580604,-0.47685835,83.35433467741936,3522.384609082151,2882.9650430137904,0.1808325359806292,-175.75645,39.011276,-1.3115824,20.771324,8.215582,12.663236,-0.60362715,11.917851,-0.62386596,0.5912479,2.3841395,5.20924,-2.482604
50,15,16,id='BTZAQlr6ZZc' title='Adam F - Circles [Section 5]',id='3az8DowPy6A' title='AK1200 & Danny Breaks - Deep Porn (VIP Mix) [Moving Shadow]',83.35433467741936,3522.384609082151,2882.9650430137904,0.1808325359806292,-175.75645,39.011276,-1.3115824,20.771324,8.215582,12.663236,-0.60362715,11.917851,-0.62386596,0.5912479,2.3841395,5.20924,-2.482604,89.10290948275862,2786.419702362169,2577.176585384803,0.122640973031598,-80.10471,63.86669,3.5906553,26.541573,-5.2569327,7.8280044,-5.715684,5.899693,3.65117,8.420402,3.7642844,6.988631,1.9060919
50,16,18,id='3az8DowPy6A' title='AK1200 & Danny Breaks - Deep Porn (VIP Mix) [Moving Shadow]',id='-WcqVgqI670' title='Marcus Intalex & ST Files - Universe [Metalheadz]',89.10290948275862,2786.419702362169,2577.176585384803,0.122640973031598,-80.10471,63.86669,3.5906553,26.541573,-5.2569327,7.8280044,-5.715684,5.899693,3.65117,8.420402,3.7642844,6.988631,1.9060919,86.1328125,2596.354476191744,2879.208964578999,0.0933754131766298,-66.72148,78.52899,16.644653,21.32647,9.984421,5.1826453,-0.49959937,5.8752446,3.5886855,6.500005,2.0713687,4.1678224,-1.2000246
50,18,19,id='-WcqVgqI670' title='Marcus Intalex & ST Files - Universe [Metalheadz]',id='Q6HpTrmwnhQ' title='Roni Size - Snapshot [Full Cycle]',86.1328125,2596.354476191744,2879.208964578999,0.0933754131766298,-66.72148,78.52899,16.644653,21.32647,9.984421,5.1826453,-0.49959937,5.8752446,3.5886855,6.500005,2.0713687,4.1678224,-1.2000246,172.265625,2843.8230770830487,2800.364810723161,0.1241735644442766,-95.99266,71.42547,29.913912,39.414204,9.868639,14.33491,2.178771,2.856438,-5.8016357,5.3111,-11.734165,4.0608435,-8.0115385
50,19,20,id='Q6HpTrmwnhQ' title='Roni Size - Snapshot [Full Cycle]',id='8g1lzAUFPZc' title='DJ Zinc - Toothbrush (Remix) [True Playaz]',172.265625,2843.8230770830487,2800.364810723161,0.1241735644442766,-95.99266,71.42547,29.913912,39.414204,9.868639,14.33491,2.178771,2.856438,-5.8016357,5.3111,-11.734165,4.0608435,-8.0115385,89.10290948275862,3003.1269029096607,2498.861470121911,0.1515997393574406,-86.58216,57.773426,-4.7661195,28.99777,-4.674295,5.7594295,-5.983177,4.453539,-3.36955,6.0533996,-4.471283,1.3227869,-5.5707626
50,20,21,id='8g1lzAUFPZc' title='DJ Zinc - Toothbrush (Remix) [True Playaz]',id='8ic-Egg6vgE' title='Pascal - Serious Sounds (VIP) [True Playaz]',89.10290948275862,3003.1269029096607,2498.861470121911,0.1515997393574406,-86.58216,57.773426,-4.7661195,28.99777,-4.674295,5.7594295,-5.983177,4.453539,-3.36955,6.0533996,-4.471283,1.3227869,-5.5707626,86.1328125,3125.161798031797,3009.914964056549,0.1318856943844899,-82.86102,57.854923,12.835738,23.822634,24.064781,21.213146,5.7228136,9.327718,-0.22360182,7.0658073,-0.8222232,4.0258303,-0.42266846
50,21,22,id='8ic-Egg6vgE' title='Pascal - Serious Sounds (VIP) [True Playaz]',id='2oVeiVt9pUs' title='DJ Zinc - Local Motion [True Playaz]',86.1328125,3125.161798031797,3009.914964056549,0.1318856943844899,-82.86102,57.854923,12.835738,23.822634,24.064781,21.213146,5.7228136,9.327718,-0.22360182,7.0658073,-0.8222232,4.0258303,-0.42266846,89.10290948275862,2758.3315803659275,2745.533513088847,0.1056022472929994,-40.97907,63.144924,-7.308528,20.475367,16.55208,24.782963,9.057104,14.800677,5.8011723,10.187455,2.318469,4.263085,0.13786387
50,22,23,id='2oVeiVt9pUs' title='DJ Zinc - Local Motion [True Playaz]',"id='Z8NokNkrlOQ' title='+ Ed Rush, Optical & Fierce - Alien Girl [Prototype]'",89.10290948275862,2758.3315803659275,2745.533513088847,0.1056022472929994,-40.97907,63.144924,-7.308528,20.475367,16.55208,24.782963,9.057104,14.800677,5.8011723,10.187455,2.318469,4.263085,0.13786387,86.1328125,2914.61345593401,2839.7913978854253,0.1286206818002929,-88.35947,65.788605,26.073202,28.281855,9.256503,11.778053,6.4950123,5.844858,0.8373215,4.6478996,-0.72837454,6.405391,-3.6656363
